t_ms,ax_g,ay_g,az_g,label
2877,0.099064,0.0305,1.409283,UPDOWN
2894,0.095587,0.031293,1.25782,UPDOWN
2912,0.082228,0.043188,1.100928,UPDOWN
2930,0.073444,0.039955,0.96868,UPDOWN
2947,0.070455,0.019581,0.836127,UPDOWN
2965,0.052216,-0.017629,0.650992,UPDOWN
2983,0.070821,-0.048251,0.463417,UPDOWN
2998,0.064843,-0.076128,0.305732,UPDOWN
3016,0.036417,-0.094855,0.222467,UPDOWN
3034,0.026047,-0.102236,0.181536,UPDOWN
3052,0.033489,-0.103639,0.152988,UPDOWN
3070,0.023485,-0.094001,0.194712,UPDOWN
3087,0.044957,-0.07442,0.271877,UPDOWN
3105,0.072468,-0.043493,0.376431,UPDOWN
3121,0.083204,-0.019337,0.48068,UPDOWN
3139,0.054656,-0.015128,0.615795,UPDOWN
3156,0.042883,-0.034648,0.808372,UPDOWN
3174,0.058621,-0.036783,0.9943,UPDOWN
3192,0.094123,-0.017324,1.162172,UPDOWN
3210,0.129503,-0.002745,1.325835,UPDOWN
3228,0.120841,-0.000427,1.432219,UPDOWN
3243,0.13542,0.009211,1.505907,UPDOWN
3261,0.137799,0.025193,1.592344,UPDOWN
3279,0.118584,0.023424,1.676036,UPDOWN
3296,0.13298,0.035075,1.775405,UPDOWN
3314,0.164944,0.05124,1.824937,UPDOWN
3332,0.159088,0.04758,1.80194,UPDOWN
3349,0.140727,0.036112,1.703669,UPDOWN
3367,0.112789,0.019764,1.548912,UPDOWN
3385,0.08296,0.001708,1.353651,UPDOWN
3400,0.057767,0.002257,1.153937,UPDOWN
3418,0.050508,0.009516,0.971547,UPDOWN
3436,0.034831,0.001464,0.814472,UPDOWN
3454,0.02074,-0.029707,0.690825,UPDOWN
3471,0.010004,-0.050203,0.578951,UPDOWN
3489,0.005368,-0.063867,0.488732,UPDOWN
3507,0.015616,-0.062769,0.424316,UPDOWN
3525,0.020313,-0.053192,0.371612,UPDOWN
3540,0.009272,-0.068503,0.32208,UPDOWN
3558,-0.00122,-0.060817,0.291275,UPDOWN
3576,0.007564,-0.064416,0.309941,UPDOWN
3594,0.019764,-0.078751,0.355569,UPDOWN
3612,0.036356,-0.068076,0.427671,UPDOWN
3629,0.039528,-0.031964,0.528016,UPDOWN
3647,0.022997,-0.024888,0.662948,UPDOWN
3663,0.021472,-0.050691,0.843996,UPDOWN
3681,0.040443,-0.048068,1.063047,UPDOWN
3698,0.08296,0.004941,1.239764,UPDOWN
3716,0.126636,0.03782,1.413675,UPDOWN
3734,0.138409,0.06954,1.6104,UPDOWN
3751,0.193431,0.062403,1.909544,UPDOWN
3769,0.31476,0.105896,1.998604,UPDOWN
3787,0.165188,0.147132,1.899784,UPDOWN
3805,0.1708,0.028548,1.800476,UPDOWN
3820,0.148169,0.073444,1.615219,UPDOWN
3838,0.145363,0.047519,1.438685,UPDOWN
3856,0.117852,0.027511,1.269837,UPDOWN
3873,0.084729,0.008113,1.121241,UPDOWN
3891,0.068381,-0.002135,0.971669,UPDOWN
3909,0.043249,0.004209,0.789645,UPDOWN
3926,0.049471,-0.017385,0.629764,UPDOWN
3944,0.064172,-0.038003,0.501176,UPDOWN
3962,-0.022204,-0.063257,0.428464,UPDOWN
3978,-0.000244,-0.08906,0.358863,UPDOWN
3996,0.042761,-0.068869,0.352336,UPDOWN
4013,0.017324,-0.078629,0.332999,UPDOWN
4031,0.005429,-0.073627,0.327753,UPDOWN
4049,-0.002684,-0.068503,0.367464,UPDOWN
4065,0.005185,-0.077104,0.45628,UPDOWN
4083,0.017324,-0.079239,0.578524,UPDOWN
4100,0.008052,-0.051972,0.699792,UPDOWN
4118,0.0244,-0.028304,0.870592,UPDOWN
4136,0.057035,-0.015128,1.091656,UPDOWN
4154,0.077653,-0.012383,1.286673,UPDOWN
4171,0.127795,0.038125,1.553243,UPDOWN
4189,0.183061,0.094489,1.782115,UPDOWN
4205,0.188063,0.090768,1.851716,UPDOWN
4222,0.177815,0.08662,1.816824,UPDOWN
4240,0.176107,0.086681,1.750517,UPDOWN
4258,0.141276,0.090219,1.667557,UPDOWN
4276,0.126392,0.085644,1.5921,UPDOWN
4293,0.109068,0.070943,1.474004,UPDOWN
4311,0.087596,0.061488,1.346636,UPDOWN
4329,0.0793,0.052643,1.214632,UPDOWN
4346,0.040504,0.035624,1.059997,UPDOWN
4364,0.035868,0.006588,0.925004,UPDOWN
4380,0.056181,-0.032208,0.772992,UPDOWN
4397,0.056913,-0.064843,0.577731,UPDOWN
4415,0.064111,-0.087291,0.422364,UPDOWN
4433,0.084119,-0.102053,0.342332,UPDOWN
4451,0.070272,-0.109312,0.282979,UPDOWN
4469,0.060817,-0.106628,0.224053,UPDOWN
4486,0.044652,-0.101016,0.222528,UPDOWN
4502,0.059292,-0.064233,0.269376,UPDOWN
4520,0.056425,-0.040443,0.326655,UPDOWN
4538,0.050264,-0.020801,0.401136,UPDOWN
4555,0.057645,0.009028,0.505568,UPDOWN
4573,0.067893,0.005612,0.705587,UPDOWN
4591,0.061427,-0.049959,0.939339,UPDOWN
4609,0.075396,-0.055876,1.133868,UPDOWN
4624,0.086559,-0.028975,1.247999,UPDOWN
4642,0.066429,0.007808,1.349747,UPDOWN
4660,0.059963,0.024949,1.506273,UPDOWN
4677,0.087352,0.023973,1.661396,UPDOWN
4695,0.09882,0.029768,1.749724,UPDOWN
4713,0.10736,0.044652,1.792485,UPDOWN
4730,0.1037,0.05978,1.808772,UPDOWN
4748,0.110593,0.059841,1.813896,UPDOWN
4766,0.106689,0.045323,1.75192,UPDOWN
4784,0.094367,0.035807,1.606923,UPDOWN
4799,0.061427,0.034343,1.411723,UPDOWN
4817,0.046116,0.031232,1.2139,UPDOWN
4835,0.026413,0.031232,1.019981,UPDOWN
4852,0.010675,0.014396,0.844057,UPDOWN
4870,0.017568,-0.009699,0.677893,UPDOWN
4888,0.0183,-0.039284,0.518988,UPDOWN
4906,0.030805,-0.050447,0.410164,UPDOWN
4923,0.030073,-0.047336,0.337879,UPDOWN
4939,0.035685,-0.050508,0.293227,UPDOWN
4957,0.043981,-0.053009,0.267668,UPDOWN
4975,0.049044,-0.055144,0.274988,UPDOWN
4992,0.051301,-0.045872,0.294203,UPDOWN
5010,0.032513,-0.038979,0.306403,UPDOWN
5028,0.03538,-0.03172,0.377651,UPDOWN
5046,0.036905,-0.018483,0.49288,UPDOWN
5061,0.040992,-0.023912,0.638548,UPDOWN
5079,0.03904,-0.024095,0.830759,UPDOWN
5097,0.035624,-0.029768,1.011136,UPDOWN
5115,0.035319,-0.0122,1.213351,UPDOWN
5133,0.059475,-0.010492,1.428071,UPDOWN
5150,0.104981,0.049715,1.6775,UPDOWN
5168,0.175497,0.097661,1.929308,UPDOWN
5184,0.165432,0.072773,1.998604,UPDOWN
5201,0.178852,0.069296,1.998604,UPDOWN
5219,0.142191,0.065331,1.885571,UPDOWN
5237,0.116876,0.053131,1.691652,UPDOWN
5254,0.088999,0.042883,1.489681,UPDOWN
5272,0.072651,0.029463,1.306193,UPDOWN
5290,0.054412,0.034343,1.147532,UPDOWN
5307,0.052155,0.028853,1.02602,UPDOWN
5325,0.04026,0.021472,0.921039,UPDOWN
5343,0.03294,0.008784,0.833748,UPDOWN
5358,0.028304,-0.015921,0.729743,UPDOWN
5376,0.036844,-0.03172,0.612196,UPDOWN
5394,0.069296,-0.050569,0.504775,UPDOWN
