t_ms,ax_g,ay_g,az_g,label
3792,0.015433,0.020923,1.00162,idle
3810,0.01464,0.022631,1.000705,idle
3827,0.014579,0.021899,0.99796,idle
3845,0.014945,0.020008,0.997533,idle
3862,0.014884,0.019947,0.998631,idle
3880,0.014884,0.020679,0.99918,idle
3897,0.015311,0.020984,0.999241,idle
3915,0.01586,0.021167,0.998021,idle
3932,0.015555,0.020984,0.998692,idle
3950,0.014091,0.021045,0.999607,idle
3967,0.014701,0.02074,0.998692,idle
3985,0.014396,0.021167,0.999607,idle
4002,0.014823,0.02074,0.998936,idle
4020,0.01464,0.02074,0.999424,idle
4037,0.015433,0.020984,0.999424,idle
4055,0.015311,0.020496,0.999424,idle
4072,0.015128,0.020435,0.999424,idle
4090,0.015189,0.020191,0.997228,idle
4107,0.01464,0.020557,0.999851,idle
4125,0.015372,0.02074,0.998204,idle
4142,0.015067,0.021472,1.000644,idle
4160,0.01464,0.021899,1.000583,idle
4177,0.015189,0.021045,0.999424,idle
4195,0.014579,0.021228,0.998875,idle
4212,0.01464,0.021411,0.999668,idle
4230,0.013969,0.021472,0.998448,idle
4247,0.015128,0.020557,0.999241,idle
4265,0.015921,0.020496,0.999668,idle
4282,0.01586,0.020069,1.000156,idle
4300,0.016348,0.020069,0.998448,idle
4317,0.014945,0.020679,0.998692,idle
4335,0.014457,0.020923,0.999485,idle
4352,0.013664,0.021045,0.999729,idle
4370,0.013664,0.021533,0.998387,idle
4387,0.015372,0.021411,0.99918,idle
4405,0.015372,0.020557,0.998692,idle
4422,0.01586,0.019825,0.999668,idle
4440,0.015311,0.020679,0.998692,idle
4457,0.01464,0.021411,0.998936,idle
4475,0.014152,0.021716,0.998997,idle
4492,0.014579,0.021045,0.999363,idle
4510,0.015067,0.020496,0.998997,idle
4527,0.015128,0.020008,0.999241,idle
4545,0.015799,0.02074,0.998692,idle
4562,0.015555,0.02074,0.999119,idle
4579,0.015189,0.021167,0.998936,idle
4597,0.015128,0.021167,0.998997,idle
4614,0.013908,0.020984,0.999973,idle
4632,0.014579,0.020679,0.998692,idle
4649,0.014396,0.020435,0.99918,idle
4667,0.015067,0.020984,1.000461,idle
4684,0.015616,0.02074,0.999668,idle
4702,0.015799,0.020984,0.998936,idle
4719,0.015189,0.020496,0.999424,idle
4737,0.014335,0.020679,0.998875,idle
4754,0.014701,0.021167,0.999424,idle
4772,0.01464,0.021472,0.99918,idle
4789,0.014823,0.021045,0.998753,idle
4807,0.01464,0.021045,0.998387,idle
4824,0.014945,0.021411,0.999241,idle
4842,0.014884,0.020801,0.999119,idle
4859,0.014396,0.020984,0.999729,idle
4877,0.015128,0.020801,1.000156,idle
4894,0.015311,0.020801,0.998997,idle
4912,0.015189,0.020557,0.998936,idle
4929,0.015372,0.020496,0.998997,idle
4947,0.014579,0.020191,0.999973,idle
4964,0.01464,0.020984,1.000156,idle
4982,0.014396,0.021045,0.998997,idle
4999,0.014701,0.020984,0.998143,idle
5017,0.014579,0.020801,0.998692,idle
5034,0.015128,0.020984,0.998753,idle
5052,0.01464,0.021045,0.999668,idle
5069,0.014701,0.020984,0.999668,idle
5087,0.014884,0.020984,0.99918,idle
5104,0.015067,0.020557,0.998509,idle
5122,0.015189,0.020496,0.999424,idle
5139,0.015616,0.02074,0.999119,idle
5157,0.015677,0.020679,0.999424,idle
5174,0.014884,0.020435,0.998753,idle
5192,0.014823,0.021167,0.998692,idle
5209,0.014579,0.021289,0.998692,idle
5227,0.014396,0.021716,0.999668,idle
5244,0.014945,0.02074,1.000095,idle
5262,0.015616,0.020313,0.998875,idle
5279,0.015128,0.020679,0.998997,idle
5297,0.015372,0.020557,0.998997,idle
5314,0.015128,0.020679,0.999363,idle
5330,0.015433,0.021228,0.999119,idle
5347,0.014945,0.020984,0.999119,idle
5365,0.014579,0.021411,0.998021,idle
5382,0.014701,0.021228,1.000095,idle
5400,0.014457,0.020984,0.999851,idle
5417,0.015128,0.020679,0.99918,idle
5435,0.014945,0.021411,0.998631,idle
5452,0.014945,0.020496,0.998753,idle
5470,0.015433,0.020984,0.999607,idle
5487,0.014945,0.020801,0.999912,idle
5505,0.015067,0.020801,0.998509,idle
5522,0.014884,0.020801,0.998204,idle
5540,0.014884,0.02074,1.000156,idle
5557,0.015067,0.020984,0.999241,idle
5575,0.014823,0.021167,0.99918,idle
5592,0.014945,0.021411,0.999485,idle
5610,0.014884,0.021472,0.998204,idle
5627,0.014823,0.02074,0.998448,idle
5645,0.014823,0.020496,0.999668,idle
5662,0.015372,0.020923,0.998753,idle
5680,0.015555,0.021228,0.998997,idle
5697,0.015372,0.021411,0.999363,idle
5715,0.015128,0.021289,1.000461,idle
5732,0.013969,0.020984,0.998997,idle
5750,0.014396,0.021411,0.997472,idle
5767,0.014945,0.021228,0.998387,idle
5785,0.015311,0.021655,0.999668,idle
5802,0.015189,0.021045,0.999424,idle
5820,0.014945,0.020984,0.99918,idle
5837,0.014945,0.021228,0.998448,idle
5855,0.014152,0.021228,0.997716,idle
5872,0.014396,0.020801,1.000156,idle
5890,0.015189,0.020496,0.998936,idle
5907,0.015555,0.020984,0.999607,idle
5925,0.014884,0.021472,0.998936,idle
5942,0.015128,0.021411,0.998509,idle
5960,0.014945,0.021289,0.998936,idle
5977,0.014579,0.020496,0.999668,idle
5995,0.015189,0.02074,0.998936,idle
6012,0.015128,0.020557,0.998509,idle
6030,0.015372,0.020984,0.998936,idle
6047,0.014884,0.021045,0.999119,idle
6065,0.014335,0.021167,0.999851,idle
6082,0.01464,0.021472,0.99918,idle
6100,0.015067,0.020801,0.998448,idle
6117,0.014945,0.020679,0.998875,idle
6135,0.015616,0.020496,0.999119,idle
6152,0.014945,0.020557,0.999668,idle
6170,0.014457,0.020984,0.999912,idle
6187,0.014396,0.021228,0.999607,idle
6205,0.013908,0.021411,0.99796,idle
6222,0.015189,0.020984,0.998509,idle
6240,0.015433,0.021228,0.999119,idle
6257,0.015189,0.020496,0.999241,idle
6275,0.014884,0.020801,0.999912,idle
6292,0.014945,0.020923,0.998692,idle
6310,0.014823,0.021045,0.998997,idle
6327,0.014945,0.021167,0.999424,idle
6345,0.014884,0.021411,0.999424,idle
6362,0.014884,0.021228,0.999851,idle
6379,0.015128,0.02074,0.999424,idle
6397,0.014884,0.019947,0.998875,idle
6414,0.015433,0.02074,0.998875,idle
6432,0.015372,0.021411,0.998753,idle
6449,0.015128,0.021228,0.99918,idle
6467,0.015311,0.021411,0.999119,idle
6484,0.014701,0.020679,0.999424,idle
6502,0.014701,0.020557,0.998448,idle
6519,0.01464,0.020313,0.997777,idle
6537,0.015311,0.021045,0.998448,idle
6554,0.015555,0.021228,1.0004,idle
6572,0.015433,0.021411,0.999424,idle
6589,0.015128,0.021228,0.999241,idle
6607,0.014152,0.020984,0.998204,idle
6624,0.01464,0.020984,0.999668,idle
6642,0.014884,0.020557,0.999241,idle
