t_ms,ax_g,ay_g,az_g,label
4267,0.091988,-0.09272,0.984052,idle
4284,0.090585,-0.087352,0.996801,idle
4302,0.091561,-0.088023,0.998631,idle
4320,0.098759,-0.089243,0.994056,idle
4337,0.100589,-0.086803,0.989176,idle
4355,0.091073,-0.084241,0.986309,idle
4372,0.083204,-0.083143,0.992775,idle
4390,0.084973,-0.08784,0.991372,idle
4408,0.094367,-0.0915,0.993324,idle
4425,0.099491,-0.0915,0.988383,idle
4443,0.096197,-0.088084,0.993568,idle
4460,0.094428,-0.092781,0.986248,idle
4478,0.091805,-0.093269,0.97966,idle
4496,0.0915,-0.093879,0.995276,idle
4513,0.090524,-0.08906,0.99918,idle
4531,0.09638,-0.090036,0.987041,idle
4548,0.092232,-0.088511,0.97966,idle
4566,0.091561,-0.091256,0.992287,idle
4581,0.095831,-0.090463,0.995276,idle
4599,0.094855,-0.09028,0.990152,idle
4617,0.094916,-0.090707,0.993019,idle
4634,0.092781,-0.088816,0.991616,idle
4652,0.094367,-0.091012,0.992897,idle
4669,0.09516,-0.094672,0.979721,idle
4687,0.093513,-0.094123,0.987407,idle
4705,0.089548,-0.091805,0.991616,idle
4722,0.089975,-0.091195,0.996008,idle
4740,0.096075,-0.090524,0.985028,idle
4757,0.099308,-0.089853,0.987285,idle
4775,0.099247,-0.088389,0.99674,idle
4793,0.094672,-0.088328,0.995947,idle
4810,0.092476,-0.089121,0.992165,idle
4828,0.087901,-0.08906,0.9882,idle
4845,0.083936,-0.091683,0.986736,idle
4863,0.091683,-0.093513,0.980636,idle
4881,0.103029,-0.093025,0.993812,idle
4898,0.102419,-0.093208,0.999424,idle
4914,0.088267,-0.091317,0.99308,idle
4931,0.085339,-0.092049,0.985211,idle
4949,0.090585,-0.091988,0.982832,idle
4966,0.09394,-0.094367,0.98454,idle
4984,0.097356,-0.094184,0.989176,idle
5002,0.096441,-0.093208,0.99552,idle
5019,0.091439,-0.090524,0.998692,idle
5037,0.091317,-0.090341,0.990152,idle
5054,0.092232,-0.089731,0.984479,idle
5072,0.096136,-0.091927,0.986065,idle
5090,0.09394,-0.090463,0.988993,idle
5107,0.083143,-0.090951,0.99674,idle
5125,0.08174,-0.089304,0.999119,idle
5142,0.093452,-0.092049,0.987712,idle
5160,0.102236,-0.097112,0.978501,idle
5178,0.099369,-0.096136,0.990152,idle
5195,0.092171,-0.095892,0.996008,idle
5213,0.083753,-0.091073,0.991677,idle
5228,0.086376,-0.090707,0.990884,idle
5246,0.091927,-0.090341,0.992592,idle
5263,0.09516,-0.091988,0.983381,idle
5281,0.092232,-0.096136,0.986553,idle
5299,0.08906,-0.092537,1.001864,idle
5316,0.083875,-0.088816,0.994239,idle
5334,0.088572,-0.092781,0.984601,idle
5351,0.090219,-0.100772,0.975024,idle
5369,0.088572,-0.095404,0.988688,idle
5387,0.092659,-0.091805,0.992531,idle
5404,0.098515,-0.093757,0.998204,idle
5422,0.101077,-0.09638,1.003511,idle
5439,0.092659,-0.102175,0.977464,idle
5457,0.08052,-0.101199,0.976976,idle
5475,0.073993,-0.091927,0.993324,idle
5492,0.0915,-0.090768,0.991433,idle
5510,0.106628,-0.089243,0.994727,idle
5527,0.102663,-0.089609,1.002352,idle
5545,0.090768,-0.091317,0.995764,idle
5560,0.080337,-0.096868,0.973499,idle
5578,0.078385,-0.099369,0.981185,idle
5596,0.085339,-0.093391,1.001193,idle
5613,0.098088,-0.094916,0.990884,idle
5631,0.106201,-0.099308,0.985028,idle
5648,0.098027,-0.09638,0.995276,idle
5666,0.086864,-0.095343,0.99186,idle
5684,0.080337,-0.095404,0.980392,idle
5701,0.081984,-0.097905,0.986492,idle
5719,0.096868,-0.099003,0.99796,idle
5736,0.110532,-0.094977,0.994605,idle
5754,0.104676,-0.096868,0.988993,idle
5771,0.084912,-0.095953,0.992104,idle
5789,0.075152,-0.096868,0.991921,idle
5807,0.077775,-0.094428,0.988688,idle
5824,0.095953,-0.096319,0.988932,idle
5842,0.106689,-0.096624,0.988871,idle
5859,0.101504,-0.094733,0.992287,idle
5877,0.088267,-0.097844,0.992653,idle
5893,0.080093,-0.097844,0.991189,idle
5910,0.081435,-0.097905,0.983076,idle
5928,0.090463,-0.100955,0.989603,idle
5945,0.104676,-0.105469,0.98942,idle
5963,0.106445,-0.101565,0.987956,idle
5981,0.091988,-0.098576,0.989908,idle
5998,0.07442,-0.096624,0.991128,idle
6016,0.075823,-0.102968,0.983015,idle
6033,0.091073,-0.103395,0.986248,idle
6051,0.101199,-0.100284,0.993324,idle
6068,0.1037,-0.098332,0.99308,idle
6086,0.092415,-0.095404,0.993263,idle
6104,0.082716,-0.101077,0.987712,idle
6121,0.076433,-0.102053,0.985211,idle
6139,0.08296,-0.103273,0.986248,idle
6156,0.095343,-0.099247,0.998204,idle
6174,0.103151,-0.10126,0.989725,idle
6192,0.097112,-0.10248,0.98576,idle
6209,0.091195,-0.10248,0.99186,idle
6225,0.080703,-0.101321,0.990091,idle
6242,0.07808,-0.102419,0.986736,idle
6260,0.084424,-0.101199,0.991128,idle
6278,0.095831,-0.100772,0.991921,idle
6295,0.102419,-0.103456,0.990396,idle
6313,0.093635,-0.104981,0.982161,idle
6330,0.079971,-0.103151,0.982832,idle
6348,0.078568,-0.102907,0.989359,idle
6366,0.090097,-0.099857,0.995337,idle
6383,0.101016,-0.105469,0.994605,idle
6401,0.099308,-0.104188,0.993385,idle
6418,0.082472,-0.100284,0.992165,idle
6436,0.074847,-0.103151,0.985943,idle
6453,0.080032,-0.10614,0.975268,idle
6471,0.089365,-0.107055,0.983747,idle
6489,0.091927,-0.105652,0.993629,idle
6506,0.089548,-0.103456,1.0004,idle
6524,0.088999,-0.101931,0.992592,idle
6539,0.084851,-0.099979,0.984052,idle
6557,0.0854,-0.10248,0.989603,idle
6575,0.086071,-0.104981,0.987956,idle
6592,0.084424,-0.108092,0.986675,idle
6610,0.083936,-0.108641,0.984113,idle
6627,0.086681,-0.105408,0.991189,idle
6645,0.094672,-0.107543,0.996496,idle
6663,0.094428,-0.102907,0.98942,idle
6680,0.088389,-0.104249,0.984357,idle
6698,0.079544,-0.1037,0.985272,idle
6715,0.082228,-0.105957,0.989176,idle
6733,0.087657,-0.1037,0.996923,idle
6750,0.089304,-0.105408,0.990396,idle
6768,0.084912,-0.104432,0.987285,idle
6786,0.079788,-0.102907,0.981612,idle
6803,0.082716,-0.10248,0.98454,idle
6821,0.090768,-0.10492,0.989603,idle
6838,0.092903,-0.105164,0.996191,idle
6856,0.092232,-0.105835,1.002047,idle
6872,0.086193,-0.10614,0.983869,idle
6889,0.082716,-0.109373,0.97478,idle
6907,0.088145,-0.107116,0.989725,idle
6924,0.097295,-0.108397,0.992409,idle
6942,0.095953,-0.104432,0.990945,idle
6960,0.081923,-0.100528,0.992897,idle
6977,0.075152,-0.103151,0.993873,idle
6995,0.083204,-0.106445,0.981063,idle
7012,0.092232,-0.10736,0.982283,idle
7030,0.097112,-0.106872,0.995825,idle
7048,0.090524,-0.102419,1.001193,idle
7065,0.079361,-0.1037,0.987224,idle
7083,0.07686,-0.108824,0.983381,idle
7100,0.080581,-0.107116,0.98942,idle
7118,0.095892,-0.107604,0.988871,idle
7135,0.102724,-0.110532,0.988505,idle
7153,0.08906,-0.110288,0.990884,idle
7171,0.073383,-0.107665,0.991128,idle
7186,0.075396,-0.110532,0.978989,idle
7204,0.086315,-0.109129,0.979416,idle
7221,0.093269,-0.108336,0.996435,idle
7239,0.095404,-0.105591,1.000156,idle
7257,0.090707,-0.108824,0.983076,idle
7274,0.077104,-0.106811,0.981124,idle
7292,0.071248,-0.107604,0.987956,idle
7309,0.080032,-0.106384,0.989908,idle
7327,0.091012,-0.10736,0.985272,idle
7345,0.104188,-0.109983,0.996679,idle
7362,0.103639,-0.109068,0.997716,idle
7380,0.091988,-0.107665,0.991555,idle
7397,0.078812,-0.110288,0.976549,idle
7415,0.0732,-0.108031,0.982893,idle
7432,0.082289,-0.10736,0.991372,idle
7450,0.094123,-0.106933,0.998692,idle
7468,0.098027,-0.106689,0.992104,idle
7485,0.089304,-0.10492,0.991555,idle
7503,0.083936,-0.110227,0.982588,idle
7518,0.0793,-0.108153,0.983076,idle
7536,0.086132,-0.110044,0.992104,idle
7554,0.091073,-0.107421,0.991616,idle
7571,0.09272,-0.110044,0.987468,idle
7589,0.092659,-0.112728,0.990945,idle
7606,0.083204,-0.107421,0.994544,idle
7624,0.078324,-0.110776,0.983076,idle
7641,0.085705,-0.11224,0.97722,idle
7659,0.09638,-0.114192,0.989969,idle
7677,0.094916,-0.109129,0.998204,idle
7694,0.085461,-0.104859,0.992775,idle
7712,0.079056,-0.107848,0.989237,idle
7729,0.080337,-0.10858,0.976732,idle
7747,0.088816,-0.111996,0.97966,idle
7765,0.087047,-0.111752,0.98942,idle
7782,0.081801,-0.106628,1.004304,idle
7800,0.084119,-0.104981,0.997228,idle
7817,0.095343,-0.1098,0.977647,idle
