t_ms,ax_g,ay_g,az_g,label
3773,0.165676,0.111996,1.176812,UPDOWN
3789,0.179767,0.094672,0.997411,UPDOWN
3807,0.149572,0.071065,0.77226,UPDOWN
3824,0.111569,0.041724,0.593835,UPDOWN
3842,0.060939,0.038796,0.462685,UPDOWN
3860,0.059353,0.026901,0.357521,UPDOWN
3877,0.09028,-0.006344,0.256017,UPDOWN
3895,0.103029,-0.032452,0.195444,UPDOWN
3913,0.129625,-0.072041,0.124684,UPDOWN
3931,0.165676,-0.109739,0.056364,UPDOWN
3947,0.218136,-0.13664,0.025071,UPDOWN
3964,0.219173,-0.141825,0.054107,UPDOWN
3982,0.215025,-0.122549,0.179157,UPDOWN
4000,0.23302,-0.079727,0.390339,UPDOWN
4018,0.256871,-0.062708,0.588528,UPDOWN
4035,0.291092,-0.005612,0.865956,UPDOWN
4053,0.26962,0.127124,1.289601,UPDOWN
4069,0.182024,0.238693,1.724592,UPDOWN
4087,0.069784,0.27816,1.968348,UPDOWN
4104,0.025437,0.201483,1.924245,UPDOWN
4122,0.0183,0.122671,1.821704,UPDOWN
4140,0.032696,0.069479,1.783884,UPDOWN
4157,0.095099,0.051301,1.759728,UPDOWN
4175,0.162931,0.065087,1.719407,UPDOWN
4193,0.172752,0.097539,1.695129,UPDOWN
4210,0.164273,0.110593,1.606984,UPDOWN
4226,0.120292,0.121756,1.489437,UPDOWN
4244,0.13054,0.127368,1.408124,UPDOWN
4261,0.131516,0.125355,1.244156,UPDOWN
4279,0.133468,0.090768,1.026447,UPDOWN
4297,0.134932,0.053924,0.800076,UPDOWN
4314,0.130357,0.016592,0.554551,UPDOWN
4332,0.144997,-0.017995,0.331413,UPDOWN
4350,0.14518,-0.049105,0.160796,UPDOWN
4368,0.109861,-0.068076,0.018788,UPDOWN
4383,0.092781,-0.092964,-0.086559,UPDOWN
4401,0.032696,-0.072224,-0.039345,UPDOWN
4419,0.001769,-0.052216,0.071065,UPDOWN
4437,0.031293,-0.04636,0.188185,UPDOWN
4455,0.120048,-0.043249,0.396988,UPDOWN
4473,0.174765,-0.037759,0.627507,UPDOWN
4488,0.190808,-0.03172,0.805688,UPDOWN
4506,0.171837,0.006588,0.974292,UPDOWN
4524,0.169824,0.033245,1.087264,UPDOWN
4541,0.195932,0.055327,1.203408,UPDOWN
4559,0.246379,0.07686,1.305217,UPDOWN
4577,0.218075,0.144021,1.450092,UPDOWN
4594,0.095892,0.185501,1.524939,UPDOWN
4612,0.003721,0.1952,1.558428,UPDOWN
4630,0.066917,0.166103,1.696532,UPDOWN
4648,0.196908,0.114741,1.836344,UPDOWN
4663,0.256261,0.085156,1.862635,UPDOWN
4681,0.17446,0.092476,1.774185,UPDOWN
4699,0.090036,0.126819,1.686589,UPDOWN
4716,0.057096,0.151097,1.654747,UPDOWN
4734,0.079605,0.149755,1.559221,UPDOWN
4752,0.084851,0.135237,1.397144,UPDOWN
4769,0.086803,0.122732,1.24074,UPDOWN
4787,0.129808,0.080032,0.993751,UPDOWN
4805,0.140788,0.040992,0.806237,UPDOWN
4822,0.122549,0.02684,0.638304,UPDOWN
4838,0.101199,0.010248,0.486963,UPDOWN
4856,0.090768,-0.01586,0.335561,UPDOWN
4873,0.093452,-0.05246,0.138409,UPDOWN
4891,0.130845,-0.087413,0.02928,UPDOWN
4909,0.194468,-0.096685,0.052155,UPDOWN
4927,0.202276,-0.094428,0.00366,UPDOWN
4945,0.173972,-0.070089,0.024705,UPDOWN
4960,0.14518,-0.047336,0.140544,UPDOWN
4978,0.104737,-0.017263,0.325008,UPDOWN
4996,0.118828,-0.000427,0.47824,UPDOWN
5014,0.1708,0.009699,0.667035,UPDOWN
5031,0.212036,0.024217,0.899201,UPDOWN
5049,0.19886,0.070333,1.145824,UPDOWN
5067,0.190808,0.093025,1.411052,UPDOWN
5084,0.116815,0.158844,1.62016,UPDOWN
5102,-0.001891,0.185928,1.795169,UPDOWN
5118,-0.016287,0.15372,1.865929,UPDOWN
5136,0.056364,0.117547,1.918999,UPDOWN
5153,0.109556,0.081008,1.911008,UPDOWN
5171,0.159637,0.053741,1.863672,UPDOWN
5189,0.145241,0.069845,1.768756,UPDOWN
5206,0.144204,0.083387,1.638948,UPDOWN
5224,0.180743,0.091805,1.54452,UPDOWN
5242,0.199592,0.103212,1.42374,UPDOWN
5259,0.184281,0.10614,1.248731,UPDOWN
5275,0.142252,0.097051,1.04554,UPDOWN
5293,0.093452,0.085095,0.843996,UPDOWN
5310,0.067832,0.076677,0.691252,UPDOWN
5328,0.081313,0.062952,0.545584,UPDOWN
5346,0.100711,0.025803,0.407907,UPDOWN
5363,0.094428,0.000183,0.29646,UPDOWN
5381,0.0793,-0.03172,0.150487,UPDOWN
5399,0.080032,-0.068381,0.039589,UPDOWN
5417,0.103212,-0.088267,-0.031415,UPDOWN
5433,0.163175,-0.093513,0.005124,UPDOWN
5450,0.143655,-0.069235,0.146156,UPDOWN
5468,0.083753,-0.035563,0.261751,UPDOWN
5486,0.058804,-0.015189,0.431636,UPDOWN
5504,0.117791,-0.002745,0.641781,UPDOWN
5521,0.173728,0.056364,1.015284,UPDOWN
5539,0.202276,0.089548,1.355359,UPDOWN
5555,0.249856,0.110593,1.59454,UPDOWN
5572,0.203008,0.160613,1.813347,UPDOWN
5590,0.052155,0.185989,1.930223,UPDOWN
5608,-0.031781,0.151036,1.933212,UPDOWN
5626,0.00244,0.121512,1.904664,UPDOWN
5643,0.065941,0.111813,1.872944,UPDOWN
5661,0.123281,0.11468,1.802428,UPDOWN
5679,0.141032,0.108275,1.7385,UPDOWN
5696,0.116632,0.120048,1.631689,UPDOWN
5712,0.096319,0.128344,1.464,UPDOWN
5730,0.083021,0.15372,1.360605,UPDOWN
5747,0.076372,0.162077,1.177727,UPDOWN
5765,0.067283,0.120963,0.929823,UPDOWN
5783,0.028975,0.081435,0.671732,UPDOWN
5800,0.0366,0.048739,0.509167,UPDOWN
5818,0.050447,0.020984,0.341051,UPDOWN
5836,0.080764,-0.009333,0.189588,UPDOWN
5854,0.138836,-0.03904,0.143045,UPDOWN
5869,0.168543,-0.060085,0.055144,UPDOWN
